kodi_institucioni,emertimi,real_nipt,nipt_source
INST-0100,Autoriteti Shteteror per Informacionin Gjeohapesinor,,unknown - not seen in KPP
INST-0101,Autoriteti i Aviacionit Civil,L01927451M,kpp_appeal.ak_nipt (name-matched)
INST-0102,Autoriteti i Komunikimeve Elektronike dhe Postare ( ish ERT ),,unknown - not seen in KPP
INST-0103,Autoriteti i Konkurences,K51802016O,kpp_appeal.ak_nipt (name-matched)
INST-0104,Autoriteti i Kontrollit Shteteror te Eksporteve,,unknown - not seen in KPP
INST-0105,Autoriteti i Mbikqyrjes Financiare,K51525009W,kpp_appeal.ak_nipt (name-matched)
INST-0106,Autoriteti i Mbikqyrjes se Lojrave te Fatit,,unknown - not seen in KPP
INST-0107,Autoriteti i Mediave Audiovizive,K51802025N,kpp_appeal.ak_nipt (name-matched)
INST-0108,Autoriteti i Sigurise Hekurudhore,,unknown - not seen in KPP
INST-0109,Autoriteti per Informimin mbi Dokumentet e Ish-Sigurimit te Shtetit,,unknown - not seen in KPP
INST-0110,Avokati i Popullit,,unknown - not seen in KPP
INST-0111,Avokati i Shtetit,,unknown - not seen in KPP
INST-0112,BERAT CITY GREEN – BCG SH.A,,unknown - not seen in KPP
INST-0113,BURSA SHQIPTARE E ENERGJISË ELEKTRIKE SH.A - ALPEX,,unknown - not seen in KPP
INST-0114,Bajkaj Land Sh.a,L47411203R,kpp_appeal.ak_nipt (name-matched)
INST-0115,Banka Shqiptare Zhvillimit,,unknown - not seen in KPP
INST-0116,Bashkia Belsh,K52905209R,kpp_appeal.ak_nipt (name-matched)
INST-0117,Bashkia Berat,K52917009T,kpp_appeal.ak_nipt (name-matched)
INST-0118,Bashkia Bulqize,K46915401W,kpp_appeal.ak_nipt (name-matched)
INST-0119,Bashkia Cerrik,K52905208J,kpp_appeal.ak_nipt (name-matched)
INST-0120,Bashkia Delvine,,unknown - not seen in KPP
INST-0121,Bashkia Devoll,K46919609D,kpp_appeal.ak_nipt (name-matched)
INST-0122,Bashkia Diber,K46908711M,kpp_appeal.ak_nipt (name-matched)
INST-0123,Bashkia Dimal,K52917023I,kpp_appeal.ak_nipt (name-matched)
INST-0124,Bashkia Divjake,K54029405C,kpp_appeal.ak_nipt (name-matched)
INST-0125,Bashkia Dropull,K43522603V,kpp_appeal.ak_nipt (name-matched)
INST-0126,Bashkia Durres,K42006501R,kpp_appeal.ak_nipt (name-matched)
INST-0127,Bashkia Elbasan,K52905207B,kpp_appeal.ak_nipt (name-matched)
INST-0128,Bashkia Fier,K52905406F,kpp_appeal.ak_nipt (name-matched)
INST-0129,Bashkia Finiq,L54421991B,kpp_appeal.ak_nipt (name-matched)
INST-0130,Bashkia Fushe Arrez,K58811319A,kpp_appeal.ak_nipt (name-matched)
INST-0131,Bashkia Gjirokaster,K43025617O,kpp_appeal.ak_nipt (name-matched)
INST-0132,Bashkia Gramsh,K47103817T,kpp_appeal.ak_nipt (name-matched)
INST-0133,Bashkia Has,K46915905P,kpp_appeal.ak_nipt (name-matched)
INST-0134,Bashkia Himare,K56703211V,kpp_appeal.ak_nipt (name-matched)
INST-0135,Bashkia Kamez,K51713031R,kpp_appeal.ak_nipt (name-matched)
INST-0136,Bashkia Kavaje,K52903801C,kpp_appeal.ak_nipt (name-matched)
INST-0137,Bashkia Kelcyre,K49719215A,kpp_appeal.ak_nipt (name-matched)
INST-0138,Bashkia Klos,K48115926R,kpp_appeal.ak_nipt (name-matched)
INST-0139,Bashkia Kolonje,K48220001G,kpp_appeal.ak_nipt (name-matched)
INST-0140,Bashkia Konispol,K53725867O,kpp_appeal.ak_nipt (name-matched)
INST-0141,Bashkia Korce,K54105075C,kpp_appeal.ak_nipt (name-matched)
INST-0142,Bashkia Kruje,K54103206J,kpp_appeal.ak_nipt (name-matched)
INST-0143,Bashkia Kucove,K48504103D,kpp_appeal.ak_nipt (name-matched)
INST-0144,Bashkia Kukes,K57829201L,kpp_appeal.ak_nipt (name-matched)
INST-0145,Bashkia Kurbin,K57904312C,kpp_appeal.ak_nipt (name-matched)
INST-0146,Bashkia Lezhe,K57829503W,kpp_appeal.ak_nipt (name-matched)
INST-0147,Bashkia Libohove,K43128615Q,kpp_appeal.ak_nipt (name-matched)
INST-0148,Bashkia Librazhd,K57904611M,kpp_appeal.ak_nipt (name-matched)
INST-0149,Bashkia Lushnje,K54029409L,kpp_appeal.ak_nipt (name-matched)
INST-0150,Bashkia Malesi e Madhe,K48420701I,kpp_appeal.ak_nipt (name-matched)
INST-0151,Bashkia Maliq,K54105076K,kpp_appeal.ak_nipt (name-matched)
INST-0152,Bashkia Mallakaster,K47605816N,kpp_appeal.ak_nipt (name-matched)
INST-0153,Bashkia Mat,K48115913J,kpp_appeal.ak_nipt (name-matched)
INST-0154,Bashkia Memaliaj,K49322535M,kpp_appeal.ak_nipt (name-matched)
INST-0155,Bashkia Mirdite,K39004005W,kpp_appeal.ak_nipt (name-matched)
INST-0156,Bashkia Patos,K52903419D,kpp_appeal.ak_nipt (name-matched)
INST-0157,Bashkia Peqin,K49701113D,kpp_appeal.ak_nipt (name-matched)
INST-0158,Bashkia Permet,K49719214P,kpp_appeal.ak_nipt (name-matched)
INST-0159,Bashkia Pogradec,K44802605R,kpp_appeal.ak_nipt (name-matched)
INST-0160,Bashkia Polican,,unknown - not seen in KPP
INST-0161,Bashkia Prrenjas,K57904612U,kpp_appeal.ak_nipt (name-matched)
INST-0162,Bashkia Puke,K58811318P,kpp_appeal.ak_nipt (name-matched)
INST-0163,Bashkia Pustec,K54105062R,kpp_appeal.ak_nipt (name-matched)
INST-0164,Bashkia Roskovec,K52905407N,kpp_appeal.ak_nipt (name-matched)
INST-0165,Bashkia Rrogozhine,K52903802K,kpp_appeal.ak_nipt (name-matched)
INST-0166,Bashkia Sarande,K44328810T,kpp_appeal.ak_nipt (name-matched)
INST-0167,Bashkia Selenice,K56703212G,kpp_appeal.ak_nipt (name-matched)
INST-0168,Bashkia Shijak,K51703504A,kpp_appeal.ak_nipt (name-matched)
INST-0169,Bashkia Shkoder,K36813001H,kpp_appeal.ak_nipt (name-matched)
INST-0170,Bashkia Skrapar,K49312402D,kpp_appeal.ak_nipt (name-matched)
INST-0171,Bashkia Tepelene,,unknown - not seen in KPP
INST-0172,Bashkia Tirane,K11729002L,kpp_appeal.ak_nipt (name-matched)
INST-0173,Bashkia Tropoje,K49326606C,kpp_appeal.ak_nipt (name-matched)
INST-0174,Bashkia Vau Dejes,K56705007O,kpp_appeal.ak_nipt (name-matched)
INST-0175,Bashkia Vlore,K56703201O,kpp_appeal.ak_nipt (name-matched)
INST-0176,Bashkia Vore,K51713032C,kpp_appeal.ak_nipt (name-matched)
INST-0177,Biblioteka Kombetare,,unknown - not seen in KPP
INST-0178,Biblioteka Publike Durres,,unknown - not seen in KPP
INST-0179,Bordi i Mbikeqyrjes Publike,,unknown - not seen in KPP
INST-0180,Byroja Kombëtare e Hetimit,,unknown - not seen in KPP
INST-0181,DREJTORIA E RAJONIT QENDER LINDJE KORCE,,unknown - not seen in KPP
INST-0182,DURANA TECH PARK SH.A,,unknown - not seen in KPP
INST-0183,Dega e Doganes Berat,,unknown - not seen in KPP
INST-0184,Dega e Doganes Durres,,unknown - not seen in KPP
INST-0185,Dega e Doganes Elbasan,K52905222V,kpp_appeal.ak_nipt (name-matched)
INST-0186,Dega e Doganes Gjirokaster,,unknown - not seen in KPP
INST-0187,Dega e Doganes Lezhe,,unknown - not seen in KPP
INST-0188,Dega e Doganes Rinas,,unknown - not seen in KPP
INST-0189,Dega e Doganes Tirane,,unknown - not seen in KPP
INST-0190,Dega e Doganes Vlore,K56703268U,kpp_appeal.ak_nipt (name-matched)
INST-0191,Dega e Thesarit Elbasan,,unknown - not seen in KPP
INST-0192,Dega e Thesarit Gjirokaster,,unknown - not seen in KPP
INST-0193,Dega e Thesarit Gramsh,,unknown - not seen in KPP
INST-0194,Dega e Thesarit Korce,,unknown - not seen in KPP
INST-0195,Dega e Thesarit Kukes,,unknown - not seen in KPP
INST-0196,Dega e Thesarit Kuçove,,unknown - not seen in KPP
INST-0197,Dega e Thesarit M.Madhe,,unknown - not seen in KPP
INST-0198,Departamenti i Administrates Publike,,unknown - not seen in KPP
INST-0199,Drejtoria Rajonale  e Autoritetit Kombetar te Ushqimit Diber,,unknown - not seen in KPP
INST-0200,Drejtoria Rajonale Formimit Profesional Publik Durres,,unknown - not seen in KPP
INST-0201,Drejtoria Rajonale Formimit Profesional Publik Gjirokaster,,unknown - not seen in KPP
INST-0202,Drejtoria Rajonale Formimit Profesional Publik Nr.1 Tirane,,unknown - not seen in KPP
INST-0203,Drejtoria Rajonale Formimit Profesional Publik Nr.4 Tirane,,unknown - not seen in KPP
INST-0204,Drejtoria Rajonale e ALUIZNI Berat,,unknown - not seen in KPP
INST-0205,Drejtoria Rajonale e ASHK-se Kukes,,unknown - not seen in KPP
INST-0206,Drejtoria Rajonale e Agjencise Kombetare te Punesimit dhe Aftesive  Gjirokaster,,unknown - not seen in KPP
INST-0207,Drejtoria Rajonale e Agjencise Kombetare te Punesimit dhe Aftesive Shkoder,,unknown - not seen in KPP
INST-0208,Drejtoria Rajonale e Agjencise Kombetare te Punesimit dhe Aftesive Tirane,,unknown - not seen in KPP
INST-0209,Drejtoria Rajonale e Agjencisë Kombëtare të Punësimit dhe Aftësive Dibër,,unknown - not seen in KPP
INST-0210,Drejtoria Rajonale e Agjencisë Kombëtare të Punësimit dhe Aftësive Elbasan,,unknown - not seen in KPP
INST-0211,Drejtoria Rajonale e Agjencisë Kombëtare të Punësimit dhe Aftësive Fier,,unknown - not seen in KPP
INST-0212,Drejtoria Rajonale e Arsimit Parauniversitar Durres,,unknown - not seen in KPP
INST-0213,Drejtoria Rajonale e Arsimit Parauniversitar Fier,L92920531S,kpp_appeal.ak_nipt (name-matched)
INST-0214,Drejtoria Rajonale e Arsimit Parauniversitar Korçe,L94121132S,kpp_appeal.ak_nipt (name-matched)
INST-0215,Drejtoria Rajonale e Arsimit Parauniversitar Lezhe,L97922572Q,kpp_appeal.ak_nipt (name-matched)
