kodi_institucioni,emertimi,real_nipt,nipt_source
INST-0594,Njesia Vendore e Kujdesit Shendetesor Devoll,,unknown - not seen in KPP
INST-0595,Njesia Vendore e Kujdesit Shendetesor Durres,K51404501S,kpp_appeal.ak_nipt (name-matched)
INST-0596,Njesia Vendore e Kujdesit Shendetesor Elbasan,,unknown - not seen in KPP
INST-0597,Njesia Vendore e Kujdesit Shendetesor Fier,,unknown - not seen in KPP
INST-0598,Njesia Vendore e Kujdesit Shendetesor Gramsh,,unknown - not seen in KPP
INST-0599,Njesia Vendore e Kujdesit Shendetesor Kavaje,,unknown - not seen in KPP
INST-0600,Njesia Vendore e Kujdesit Shendetesor Korce,,unknown - not seen in KPP
INST-0601,Njesia Vendore e Kujdesit Shendetesor Kurbin,,unknown - not seen in KPP
INST-0602,Njesia Vendore e Kujdesit Shendetesor Kuçove,,unknown - not seen in KPP
INST-0603,Njesia Vendore e Kujdesit Shendetesor Lezhe,,unknown - not seen in KPP
INST-0604,Njesia Vendore e Kujdesit Shendetesor Lushnje,,unknown - not seen in KPP
INST-0605,Njesia Vendore e Kujdesit Shendetesor Malesi e Madhe,,unknown - not seen in KPP
INST-0606,Njesia Vendore e Kujdesit Shendetesor Permet,,unknown - not seen in KPP
INST-0607,Njesia Vendore e Kujdesit Shendetesor Shkoder,K56706004S,kpp_appeal.ak_nipt (name-matched)
INST-0608,Njesia Vendore e Kujdesit Shendetesor Tepelene,,unknown - not seen in KPP
INST-0609,Njesia Vendore e Kujdesit Shendetesor Tirane,K51724012U,kpp_appeal.ak_nipt (name-matched)
INST-0610,Njesia Vendore e Kujdesit Shendetesor Tropoje,K49326620O,kpp_appeal.ak_nipt (name-matched)
INST-0611,Njesia e Prodhimit HEC Fierze,,unknown - not seen in KPP
INST-0612,Njësia Vendore e Kujdesit Shëndetësor Berat,,unknown - not seen in KPP
INST-0613,OST Njesia Operative Burrel,,unknown - not seen in KPP
INST-0614,OST Njesia Operative Elbasan,,unknown - not seen in KPP
INST-0615,OST Njesia Operative Fier,,unknown - not seen in KPP
INST-0616,OST Njesia Operative Korce,,unknown - not seen in KPP
INST-0617,OST Njesia Operative Shkoder,,unknown - not seen in KPP
INST-0618,OST Njesia Operative Tirane,,unknown - not seen in KPP
INST-0619,OST Njesia e Mirembajtjes se Transmetimit,,unknown - not seen in KPP
INST-0620,Opera Divina Prov. Madonnina D. Grappa,,unknown - not seen in KPP
INST-0621,Operatori i Blerjeve te Perqendruara,,unknown - not seen in KPP
INST-0622,Operatori i Sherbimeve te Kujdesit Shendetesor,L91311451N,kpp_appeal.ak_nipt (name-matched)
INST-0623,Operatori i Shperndarjes se Energjise Elektrike Group sh.a,K72410014H,kpp_appeal.ak_nipt (name-matched)
INST-0624,Operatori i Shërbimeve të Integruara Shëndetësore Sh.A,,unknown - not seen in KPP
INST-0625,Operatori i Shërbimeve të Integruara të Sterilizimit Sh.A,M61320015P,kpp_appeal.ak_nipt (name-matched)
INST-0626,Operatori i Sistemit te Transmetimit OST,,unknown - not seen in KPP
INST-0627,Prefekti i Qarkut Berat,,unknown - not seen in KPP
INST-0628,Prefekti i Qarkut Diber,,unknown - not seen in KPP
INST-0629,Prefekti i Qarkut Fier,,unknown - not seen in KPP
INST-0630,Prefekti i Qarkut Gjirokaster,,unknown - not seen in KPP
INST-0631,Prefekti i Qarkut Korce,,unknown - not seen in KPP
INST-0632,Prefekti i Qarkut Kukes,,unknown - not seen in KPP
INST-0633,Prefekti i Qarkut Shkoder,,unknown - not seen in KPP
INST-0634,Prefekti i Qarkut Vlore,,unknown - not seen in KPP
INST-0635,Prokuroria e Apelit Tirane,,unknown - not seen in KPP
INST-0636,Prokuroria e Posaçme Kunder Korrupsionit dhe Krimit te Organizuar,,unknown - not seen in KPP
INST-0637,Prokuroria e Rrethit Gjyqesor Diber,,unknown - not seen in KPP
INST-0638,Prokuroria e Rrethit Gjyqesor Durres,,unknown - not seen in KPP
INST-0639,Prokuroria e Rrethit Gjyqesor Elbasan,K52905201W,kpp_appeal.ak_nipt (name-matched)
INST-0640,Prokuroria e Rrethit Gjyqesor Fier,,unknown - not seen in KPP
INST-0641,Prokuroria e Rrethit Gjyqesor Gjirokaster,,unknown - not seen in KPP
INST-0642,Prokuroria e Rrethit Gjyqesor Korce,,unknown - not seen in KPP
INST-0643,Prokuroria e Rrethit Gjyqesor Sarande,,unknown - not seen in KPP
INST-0644,Prokuroria e Rrethit Gjyqesor Shkoder,,unknown - not seen in KPP
INST-0645,Prokuroria e Rrethit Gjyqesor Tirane,K51716045C,kpp_appeal.ak_nipt (name-matched)
INST-0646,Prokuroria e Rrethit Gjyqesor Vlore,,unknown - not seen in KPP
INST-0647,Qendra Arsimore Pogradec,L64119732I,kpp_appeal.ak_nipt (name-matched)
INST-0648,Qendra Balneare Peshkopi,,unknown - not seen in KPP
INST-0649,Qendra Ditore Polivalente Kamez,,unknown - not seen in KPP
INST-0650,Qendra Ditore Polivalente Sarande,,unknown - not seen in KPP
INST-0651,Qendra Ditore e te Moshuarve Durres,,unknown - not seen in KPP
INST-0652,Qendra Ekonomike e Arsimit Bashkia Berat,K52917025B,kpp_appeal.ak_nipt (name-matched)
INST-0653,Qendra Ekonomike e Arsimit Bashkia Durres,,unknown - not seen in KPP
INST-0654,Qendra Ekonomike e Arsimit Bashkia Fier,K52906414B,kpp_appeal.ak_nipt (name-matched)
INST-0655,Qendra Ekonomike e Arsimit Bashkia Kucove,K48504106E,kpp_appeal.ak_nipt (name-matched)
INST-0656,Qendra Kombetare Pritese e Viktimave te Trafikimit,,unknown - not seen in KPP
INST-0657,Qendra Kombetare Teknike Bio-Mjekesore,,unknown - not seen in KPP
INST-0658,Qendra Kombetare e Biznesit,,unknown - not seen in KPP
INST-0659,Qendra Kombetare e Kinematografise,,unknown - not seen in KPP
INST-0660,Qendra Kombetare e Kultures per Femije,,unknown - not seen in KPP
INST-0661,Qendra Kombetare e Trajtimit te Viktimave te Dhunes ne Familje,,unknown - not seen in KPP
INST-0662,Qendra Kombetare e Transfuzionit te Gjakut Tirane,,unknown - not seen in KPP
INST-0663,Qendra Kombetare e Urgjences Mjekesore,K51726008C,kpp_appeal.ak_nipt (name-matched)
INST-0664,Qendra Kombetare e Veprimtarive Folklorike,,unknown - not seen in KPP
INST-0665,Qendra Komunitare Multidisiplinare Tirane,,unknown - not seen in KPP
INST-0666,Qendra Komunitare Shkoze Tirane,L31612451A,kpp_appeal.ak_nipt (name-matched)
INST-0667,Qendra Komunitare Sociale Streheza,L91405451F,kpp_appeal.ak_nipt (name-matched)
INST-0668,Qendra Komunitare Te Qendrojme se Bashku,K71616019M,kpp_appeal.ak_nipt (name-matched)
INST-0669,Qendra Komunitare e Terrenit,,unknown - not seen in KPP
INST-0670,Qendra Komunitare për Personat me Aftësi të Kufizuar Tiranë,,unknown - not seen in KPP
INST-0671,Qendra Kulturore Durres,,unknown - not seen in KPP
INST-0672,Qendra Kulturore Margarita Tutulani Berat,K52917024Q,kpp_appeal.ak_nipt (name-matched)
INST-0673,Qendra Kulturore Tirana,,unknown - not seen in KPP
INST-0674,Qendra Kulturore Vlore,,unknown - not seen in KPP
INST-0675,Qendra Kulturore dhe Klubi Sportiv Lushnje,,unknown - not seen in KPP
INST-0676,Qendra Kulturore e Femijeve Durres,,unknown - not seen in KPP
INST-0677,Qendra Multifunksionale Pogradec Sh.a,,unknown - not seen in KPP
INST-0678,"Qendra Muzeore Berat-Muzeu i Ikonografise “ONUFRI”, Muzeu Etnografik Berat",,unknown - not seen in KPP
INST-0679,Qendra Muzeore Durres,,unknown - not seen in KPP
INST-0680,Qendra Nderinstitucionale Operacionale Detare,,unknown - not seen in KPP
INST-0681,Qendra Nderinstitucionale e Rrjetit Akademik Shqiptar,L12207451J,kpp_appeal.ak_nipt (name-matched)
INST-0682,Qendra Polivalente per Sherbime te Perkujdesit Shoqeror Polican,,unknown - not seen in KPP
INST-0683,Qendra Rajonale e Inovacionit te Insitutit Evropian te Teknologjise dhe Inovacionit per Lendet ePara,,unknown - not seen in KPP
INST-0684,Qendra Rinore Ten,,unknown - not seen in KPP
INST-0685,Qendra Shendetesore  Vertop Berat,,unknown - not seen in KPP
INST-0686,Qendra Shendetesore Ana e Malit,,unknown - not seen in KPP
INST-0687,Qendra Shendetesore Balldre,,unknown - not seen in KPP
INST-0688,Qendra Shendetesore Bathore,,unknown - not seen in KPP
INST-0689,Qendra Shendetesore Belsh,,unknown - not seen in KPP
INST-0690,Qendra Shendetesore Berdice Shkoder,,unknown - not seen in KPP
INST-0691,Qendra Shendetesore Berxulle Tirane,,unknown - not seen in KPP
INST-0692,Qendra Shendetesore Bicaj Kukes,,unknown - not seen in KPP
INST-0693,Qendra Shendetesore Bradashesh Elbasan,,unknown - not seen in KPP
INST-0694,Qendra Shendetesore Brataj,,unknown - not seen in KPP
INST-0695,Qendra Shendetesore Bregu i Lumit,,unknown - not seen in KPP
INST-0696,Qendra Shendetesore Bubullime Lushnje,,unknown - not seen in KPP
INST-0697,Qendra Shendetesore Bucimas,,unknown - not seen in KPP
INST-0698,Qendra Shendetesore Bulgarec Qender Korce,,unknown - not seen in KPP
INST-0699,Qendra Shendetesore Cakran,,unknown - not seen in KPP
INST-0700,Qendra Shendetesore Cerrave,,unknown - not seen in KPP
INST-0701,Qendra Shendetesore Cerrik,,unknown - not seen in KPP
INST-0702,Qendra Shendetesore Dajc Shkoder,,unknown - not seen in KPP
INST-0703,Qendra Shendetesore Dardhas,,unknown - not seen in KPP
INST-0704,Qendra Shendetesore Divjak Lushnje,,unknown - not seen in KPP
INST-0705,Qendra Shendetesore Dushk,,unknown - not seen in KPP
INST-0706,Qendra Shendetesore Fajza-Gjinaj  Has,,unknown - not seen in KPP
INST-0707,Qendra Shendetesore Fan,,unknown - not seen in KPP
INST-0708,Qendra Shendetesore Fier,,unknown - not seen in KPP
INST-0709,Qendra Shendetesore Fierze Belesh Elbasan,,unknown - not seen in KPP
INST-0710,Qendra Shendetesore Frakull Fier,,unknown - not seen in KPP
INST-0711,Qendra Shendetesore Fratar Mallakaster,,unknown - not seen in KPP
INST-0712,Qendra Shendetesore Fushe Arrez,,unknown - not seen in KPP
INST-0713,Qendra Shendetesore Fushe Bulqize,,unknown - not seen in KPP
INST-0714,Qendra Shendetesore Fushe Cidhen,,unknown - not seen in KPP
INST-0715,Qendra Shendetesore Fushe Kruje,,unknown - not seen in KPP
INST-0716,Qendra Shendetesore Gjocaj,,unknown - not seen in KPP
INST-0717,Qendra Shendetesore Golaj,,unknown - not seen in KPP
INST-0718,Qendra Shendetesore Golem Kavaje,,unknown - not seen in KPP
INST-0719,Qendra Shendetesore Gose Kavaje,,unknown - not seen in KPP
INST-0720,Qendra Shendetesore Gostime,,unknown - not seen in KPP
INST-0721,Qendra Shendetesore Gracen Elbasan,,unknown - not seen in KPP
INST-0722,Qendra Shendetesore Gradisht,,unknown - not seen in KPP
INST-0723,Qendra Shendetesore Himare,,unknown - not seen in KPP
INST-0724,Qendra Shendetesore Hotolisht Librazhd,,unknown - not seen in KPP
INST-0725,Qendra Shendetesore Iballe,,unknown - not seen in KPP
INST-0726,Qendra Shendetesore Kallmet Lezhe,,unknown - not seen in KPP
INST-0727,Qendra Shendetesore Kamez,,unknown - not seen in KPP
INST-0728,Qendra Shendetesore Kastrat Malesi e Madhe,,unknown - not seen in KPP
INST-0729,Qendra Shendetesore Katund i Ri Durres,,unknown - not seen in KPP
INST-0730,Qendra Shendetesore Kavaje,,unknown - not seen in KPP
INST-0731,Qendra Shendetesore Kelcyre,,unknown - not seen in KPP
INST-0732,Qendra Shendetesore Kelmend,,unknown - not seen in KPP
INST-0733,Qendra Shendetesore Kenete Durres,,unknown - not seen in KPP
INST-0734,Qendra Shendetesore Klos Mat,,unknown - not seen in KPP
INST-0735,Qendra Shendetesore Koder Kamez Tirane,K71322006C,kpp_appeal.ak_nipt (name-matched)
INST-0736,Qendra Shendetesore Kodovjat,,unknown - not seen in KPP
INST-0737,Qendra Shendetesore Kolonje Lushnje,,unknown - not seen in KPP
INST-0738,Qendra Shendetesore Komsi Mat,,unknown - not seen in KPP
INST-0739,Qendra Shendetesore Konispol Sarande,,unknown - not seen in KPP
INST-0740,Qendra Shendetesore Kozare,,unknown - not seen in KPP
INST-0741,Qendra Shendetesore Kruje,,unknown - not seen in KPP
INST-0742,Qendra Shendetesore Krume,,unknown - not seen in KPP
INST-0743,Qendra Shendetesore Kryevidh Kavaje,,unknown - not seen in KPP
INST-0744,Qendra Shendetesore Ksmail Sarande,,unknown - not seen in KPP
INST-0745,Qendra Shendetesore Kthelle Mirdite,,unknown - not seen in KPP
INST-0746,Qendra Shendetesore Kucove,,unknown - not seen in KPP
INST-0747,Qendra Shendetesore Kukes,,unknown - not seen in KPP
INST-0748,Qendra Shendetesore Labinot Mal Elbasan,,unknown - not seen in KPP
INST-0749,Qendra Shendetesore Lekaj,,unknown - not seen in KPP
INST-0750,Qendra Shendetesore Libofshe Fier,,unknown - not seen in KPP
INST-0751,Qendra Shendetesore Libohove,,unknown - not seen in KPP
INST-0752,Qendra Shendetesore Llugaj Tropoje,,unknown - not seen in KPP
INST-0753,Qendra Shendetesore Lumas Berat,,unknown - not seen in KPP
INST-0754,Qendra Shendetesore Luz i Vogel,,unknown - not seen in KPP
INST-0755,Qendra Shendetesore Maliq,,unknown - not seen in KPP
INST-0756,Qendra Shendetesore Maminas Durres,,unknown - not seen in KPP
INST-0757,Qendra Shendetesore Mamurras,,unknown - not seen in KPP
INST-0758,Qendra Shendetesore Manez Durres,,unknown - not seen in KPP
INST-0759,Qendra Shendetesore Maqellare Diber,,unknown - not seen in KPP
INST-0760,Qendra Shendetesore Mollas Elbasan,,unknown - not seen in KPP
INST-0761,Qendra Shendetesore Narte Vlore,K76323203F,kpp_appeal.ak_nipt (name-matched)
INST-0762,Qendra Shendetesore Ndroq,,unknown - not seen in KPP
INST-0763,Qendra Shendetesore Nikel Kruje,,unknown - not seen in KPP
INST-0764,Qendra Shendetesore Nr.1 Berat,,unknown - not seen in KPP
INST-0765,Qendra Shendetesore Nr.1 Durres,,unknown - not seen in KPP
INST-0766,Qendra Shendetesore Nr.1 Lushnje,,unknown - not seen in KPP
INST-0767,Qendra Shendetesore Nr.1 Shkoder,,unknown - not seen in KPP
INST-0768,Qendra Shendetesore Nr.10 Tirane,,unknown - not seen in KPP
INST-0769,Qendra Shendetesore Nr.2 Berat,,unknown - not seen in KPP
INST-0770,Qendra Shendetesore Nr.2 Lushnje,,unknown - not seen in KPP
INST-0771,Qendra Shendetesore Nr.2 Shkoder,,unknown - not seen in KPP
INST-0772,Qendra Shendetesore Nr.2 Vlore,,unknown - not seen in KPP
INST-0773,Qendra Shendetesore Nr.3 Durres,,unknown - not seen in KPP
INST-0774,Qendra Shendetesore Nr.3 Elbasan,,unknown - not seen in KPP
INST-0775,Qendra Shendetesore Nr.3 Tirane,,unknown - not seen in KPP
INST-0776,Qendra Shendetesore Nr.4  Elbasan,,unknown - not seen in KPP
INST-0777,Qendra Shendetesore Nr.4  Tirane,,unknown - not seen in KPP
INST-0778,Qendra Shendetesore Nr.4 Durres,,unknown - not seen in KPP
INST-0779,Qendra Shendetesore Nr.4 Shkoder,,unknown - not seen in KPP
INST-0780,Qendra Shendetesore Nr.5 Tirane,,unknown - not seen in KPP
INST-0781,Qendra Shendetesore Nr.6 Tirane,,unknown - not seen in KPP
INST-0782,Qendra Shendetesore Nr.7 Durres,,unknown - not seen in KPP
INST-0783,Qendra Shendetesore Nr.7 Tirane,K71322010H,kpp_appeal.ak_nipt (name-matched)
INST-0784,Qendra Shendetesore Nr.8 Tirane,,unknown - not seen in KPP
INST-0785,Qendra Shendetesore Nr.9 Tirane,,unknown - not seen in KPP
INST-0786,Qendra Shendetesore Orosh,,unknown - not seen in KPP
INST-0787,Qendra Shendetesore Paper,,unknown - not seen in KPP
INST-0788,Qendra Shendetesore Paskuqan,,unknown - not seen in KPP
INST-0789,Qendra Shendetesore Pellumb Dollani Polican,,unknown - not seen in KPP
INST-0790,Qendra Shendetesore Perondi,,unknown - not seen in KPP
INST-0791,Qendra Shendetesore Peshkopi,,unknown - not seen in KPP
INST-0792,Qendra Shendetesore Petrele,,unknown - not seen in KPP
INST-0793,Qendra Shendetesore Peze Tirane,,unknown - not seen in KPP
INST-0794,Qendra Shendetesore Pogon-Zagori,,unknown - not seen in KPP
INST-0795,Qendra Shendetesore Pogradec,,unknown - not seen in KPP
INST-0796,Qendra Shendetesore Pojan,,unknown - not seen in KPP
INST-0797,Qendra Shendetesore Poshnje Berat,,unknown - not seen in KPP
INST-0798,Qendra Shendetesore Proptisht,,unknown - not seen in KPP
INST-0799,Qendra Shendetesore Pult,,unknown - not seen in KPP
INST-0800,Qendra Shendetesore Qender Potom Leshnje,,unknown - not seen in KPP
INST-0801,Qendra Shendetesore Qytet Studenti Tirane,,unknown - not seen in KPP
INST-0802,Qendra Shendetesore Rajoni Nr.1 Korçe,,unknown - not seen in KPP
INST-0803,Qendra Shendetesore Rajoni Nr.3 Korçe,,unknown - not seen in KPP
INST-0804,Qendra Shendetesore Roshnik Berat,,unknown - not seen in KPP
INST-0805,Qendra Shendetesore Roskovec,,unknown - not seen in KPP
INST-0806,Qendra Shendetesore Rrashbull Durres,,unknown - not seen in KPP
INST-0807,Qendra Shendetesore Rreshen,,unknown - not seen in KPP
INST-0808,Qendra Shendetesore Rrethine Shkoder,,unknown - not seen in KPP
INST-0809,Qendra Shendetesore Rrogozhine,,unknown - not seen in KPP
INST-0810,Qendra Shendetesore Rubik Mirdite,,unknown - not seen in KPP
INST-0811,Qendra Shendetesore Sarande,,unknown - not seen in KPP
INST-0812,Qendra Shendetesore Selenice,,unknown - not seen in KPP
INST-0813,Qendra Shendetesore Selite Tirane,,unknown - not seen in KPP
INST-0814,Qendra Shendetesore Shale Shkoder,,unknown - not seen in KPP
INST-0815,Qendra Shendetesore Sheze,,unknown - not seen in KPP
INST-0816,Qendra Shendetesore Shijak Durres,,unknown - not seen in KPP
INST-0817,Qendra Shendetesore Shirgjan Elbasan,,unknown - not seen in KPP
INST-0818,Qendra Shendetesore Shishtavec,,unknown - not seen in KPP
INST-0819,Qendra Shendetesore Shkoze Tirane,,unknown - not seen in KPP
INST-0820,Qendra Shendetesore Shllak-Temal,,unknown - not seen in KPP
INST-0821,Qendra Shendetesore Shtiqen,,unknown - not seen in KPP
INST-0822,Qendra Shendetesore Shushice Elbasan,,unknown - not seen in KPP
INST-0823,Qendra Shendetesore Shushice Vlore,,unknown - not seen in KPP
INST-0824,Qendra Shendetesore Stravaj Librazhd,,unknown - not seen in KPP
INST-0825,Qendra Shendetesore Suc Mat,,unknown - not seen in KPP
INST-0826,Qendra Shendetesore Sukth Durres,,unknown - not seen in KPP
INST-0827,Qendra Shendetesore Thoma Rrudha Patos,,unknown - not seen in KPP
INST-0828,Qendra Shendetesore Thumane Kruje,,unknown - not seen in KPP
INST-0829,Qendra Shendetesore Tomin Diber,,unknown - not seen in KPP
INST-0830,Qendra Shendetesore Trebinje Pogradec,,unknown - not seen in KPP
INST-0831,Qendra Shendetesore Tropoje,,unknown - not seen in KPP
INST-0832,Qendra Shendetesore Ura Vajgurore Berat,,unknown - not seen in KPP
INST-0833,Qendra Shendetesore Vau Dejes Shkoder,,unknown - not seen in KPP
INST-0834,Qendra Shendetesore Velabisht Berat,,unknown - not seen in KPP
INST-0835,Qendra Shendetesore Velcan Pogradec,,unknown - not seen in KPP
INST-0836,Qendra Shendetesore Velipoje,,unknown - not seen in KPP
INST-0837,Qendra Shendetesore Vllahine,,unknown - not seen in KPP
INST-0838,Qendra Shendetesore Vore Tirane,,unknown - not seen in KPP
INST-0839,Qendra Shendetesore Vranisht,,unknown - not seen in KPP
INST-0840,Qendra Shendetesore Vreshtas Korce,,unknown - not seen in KPP
INST-0841,Qendra Shendetesore Xhafzotaj,,unknown - not seen in KPP
INST-0842,Qendra Shendetesore Zerqan,,unknown - not seen in KPP
INST-0843,Qendra Shendetesore e Specialiteteve Nr. 3 Tirane,,unknown - not seen in KPP
INST-0844,Qendra Shendetesore e Specialiteteve Nr.1,K71322027B,kpp_appeal.ak_nipt (name-matched)
INST-0845,Qendra Shendetesore e Specialiteteve Nr.2,,unknown - not seen in KPP
INST-0846,Qendra Sociale Gonxhe Bojaxhi,L82404452J,kpp_appeal.ak_nipt (name-matched)
INST-0847,Qendra Socio-Shendetesore Kashar,,unknown - not seen in KPP
INST-0848,Qendra Socio-Shendetesore Nr.1 Tirane,,unknown - not seen in KPP
INST-0849,Qendra Socio-Shendetesore Nr.2 Durres,,unknown - not seen in KPP
INST-0850,Qendra Socio-Shendetesore Nr.2 Tirane,,unknown - not seen in KPP
INST-0851,Qendra Spitalore Rajonale Berat,,unknown - not seen in KPP
INST-0852,Qendra Spitalore Rajonale e Tiranes Shefqet Ndroqi,J62005009B,kpp_appeal.ak_nipt (name-matched)
INST-0853,Qendra Spitalore Universitare Nene Tereza Tirane,J61911026A,kpp_appeal.ak_nipt (name-matched)
INST-0854,Qendra Spitalore e Burgjeve Tirane,,unknown - not seen in KPP
INST-0855,Qendra Sportive Tirane,K61604012K,kpp_appeal.ak_nipt (name-matched)
INST-0856,Qendra e Arsimit Lushnje,,unknown - not seen in KPP
INST-0857,Qendra e Artit dhe e Kultures Korce,,unknown - not seen in KPP
INST-0858,Qendra e Botimeve Zyrtare,K02224003D,kpp_appeal.ak_nipt (name-matched)
INST-0859,Qendra e Botimeve per Diasporen,L91317451O,kpp_appeal.ak_nipt (name-matched)
INST-0860,Qendra e Formimit Profesional Publik Elbasan,,unknown - not seen in KPP
INST-0861,Qendra e Formimit Profesional Publik Fier,,unknown - not seen in KPP
INST-0862,Qendra e Formimit Profesional Publik Korce,,unknown - not seen in KPP
INST-0863,Qendra e Formimit Profesional Publik Shkoder,,unknown - not seen in KPP
INST-0864,Qendra e Formimit Profesional Publik Vlore,,unknown - not seen in KPP
INST-0865,Qendra e Furnizimit Materialo Teknik Mullet,,unknown - not seen in KPP
INST-0866,Qendra e Inovacionit te Sigurise dhe Mbrojtjes,,unknown - not seen in KPP
INST-0867,Qendra e Koordinimit Kundër Ekstremizmit të Dhunshëm,,unknown - not seen in KPP
INST-0868,Qendra e Parandalimit të Krimeve të të Miturve dhe të Rinjve,,unknown - not seen in KPP
INST-0869,Qendra e Pritjes per Azil Tirane,,unknown - not seen in KPP
INST-0870,"Qendra e Restaurimit dhe Realizimit te Veprave te Artit, Tirana",,unknown - not seen in KPP
INST-0871,Qendra e Riparimit dhe Mirembatjes se Teknikes se FA,,unknown - not seen in KPP
INST-0872,Qendra e Sherbimeve Arsimore,K51723031V,kpp_appeal.ak_nipt (name-matched)
INST-0873,Qendra e Sherbimit  dhe Administrimit te Mjeteve te Transportit te Policise se Shtetit,,unknown - not seen in KPP
INST-0874,Qendra e Specialiteteve Paskuqan Tirane,K91930451M,kpp_appeal.ak_nipt (name-matched)
INST-0875,Qendra e Studimeve dhe Publikimeve per Arbereshet,,unknown - not seen in KPP
INST-0876,Qendra e Transferimit Te Teknologjive Bujqesore Fushe Kruje,K54008205A,kpp_appeal.ak_nipt (name-matched)
INST-0877,Qendra e Transferimit Te Teknologjive Bujqesore Korce,K54105068T,kpp_appeal.ak_nipt (name-matched)
INST-0878,Qendra e Transferimit Te Teknologjive Bujqesore Lushnje,,unknown - not seen in KPP
INST-0879,Qendra e Transferimit Te Teknologjive Bujqesore Shkoder,,unknown - not seen in KPP
INST-0880,Qendra e Zhvillimit  Rezidencial Durres,,unknown - not seen in KPP
INST-0881,Qendra e Zhvillimit Ditor Korce,,unknown - not seen in KPP
INST-0882,Qendra e Zhvillimit Ditor Trendafilat,,unknown - not seen in KPP
INST-0883,Qendra e Zhvillimit Edukimit Integrimit Lira,,unknown - not seen in KPP
INST-0884,Qendra e Zhvillimit Pellumbat Tirane,,unknown - not seen in KPP
INST-0885,Qendra e Zhvillimit Rezidencial Korce,,unknown - not seen in KPP
INST-0886,Qendra e Zhvillimit Rezidencial Une jam si Ju Berat,,unknown - not seen in KPP
INST-0887,Qendra e Zhvillimit Shkoder,K56704028I,kpp_appeal.ak_nipt (name-matched)
INST-0888,Qendra e Zhvillimit te Personave me Aftesi te Kufizuar Vlore,,unknown - not seen in KPP
INST-0889,Qendra “Klubi Sportiv Tirana”,,unknown - not seen in KPP
INST-0890,REPARTI USHTARAK NR.4040,,unknown - not seen in KPP
INST-0891,Regjistri Detar Shqiptar sh.a,,unknown - not seen in KPP
INST-0892,Reparti I Policise RENEA Tirane,,unknown - not seen in KPP
INST-0893,Reparti I Sigurimit Brendshem dhe Ceremonial Tirane,,unknown - not seen in KPP
INST-0894,Reparti Ushtarak 4002,,unknown - not seen in KPP
INST-0895,Reparti Ushtarak Nr. 1020,,unknown - not seen in KPP
INST-0896,Reparti Ushtarak Nr. 2030,,unknown - not seen in KPP
INST-0897,Reparti Ushtarak Nr. 6604,,unknown - not seen in KPP
INST-0898,Reparti Ushtarak Nr.1001 Komanda e Forces Tokesore Tirane,K51725021B,kpp_appeal.ak_nipt (name-matched)
INST-0899,Reparti Ushtarak Nr.1010,,unknown - not seen in KPP
INST-0900,Reparti Ushtarak Nr.1060,,unknown - not seen in KPP
INST-0901,Reparti Ushtarak Nr.2001 Komanda e Forcave Detare Durres,K51703517I,kpp_appeal.ak_nipt (name-matched)
INST-0902,Reparti Ushtarak Nr.3001 Komanda e Forcave Ajrore Tirane,,unknown - not seen in KPP
INST-0903,Reparti Ushtarak Nr.4007,,unknown - not seen in KPP
INST-0904,Reparti Ushtarak Nr.4030,,unknown - not seen in KPP
INST-0905,Reparti Ushtarak Nr.5001 Komanda e Doktrines dhe Stervitjes Tirane,,unknown - not seen in KPP
INST-0906,Reparti Ushtarak Nr.5005,,unknown - not seen in KPP
INST-0907,Reparti Ushtarak Nr.6630 Tirane,,unknown - not seen in KPP
INST-0908,Reparti Ushtarak Nr.6640 Agjencia e Sistemeve te Nderlidhjes dhe Informacionit(Ish 4402),,unknown - not seen in KPP
INST-0909,"Reparti Ushtarak Nr.6660 Qendra e Kultures, Medias dhe Botimeve te Mbrojtjes",,unknown - not seen in KPP
INST-0910,Reparti Ushtarak Nr.6670 Qendra e Personel Rekrutimit Tirane,,unknown - not seen in KPP
INST-0911,Reparti Ushtarak Nr.6680,,unknown - not seen in KPP
INST-0912,Rezidenca Studentore Universitare Nr. 2,,unknown - not seen in KPP
INST-0913,Rezidenca Studentore Universitare Nr.1,K51814005N,kpp_appeal.ak_nipt (name-matched)
INST-0914,SH.A Administrimi i Mbetjeve Qarkut Korce,,unknown - not seen in KPP
INST-0915,SH.A Ujesjelles Kanalizime Tirane,L72320033P,kpp_appeal.ak_nipt (name-matched)
INST-0916,SHISH Sherbimi Informativ i Shtetit,,unknown - not seen in KPP
INST-0917,SHKOLLA PROFESIONALE ELBASAN,,unknown - not seen in KPP
INST-0918,SKODRINON SH.A,,unknown - not seen in KPP
INST-0919,SPITALI RAJONAL ELBASAN,K52905226h,kpp_appeal.ak_nipt (name-matched)
INST-0920,Sh.A Albpetrol,J82916500U,kpp_appeal.ak_nipt (name-matched)
INST-0921,Sh.A Korporata Elektroenergjitike Shqiptare Tirane,J61817005F,kpp_appeal.ak_nipt (name-matched)
INST-0922,Sh.A Porti Detar Sarande,,unknown - not seen in KPP
INST-0923,Sh.A Porti Detar Shengjin,,unknown - not seen in KPP
INST-0924,Sh.A Porti Detar Vlore,,unknown - not seen in KPP
INST-0925,Sh.A Posta Shqiptare,J61924007N,kpp_appeal.ak_nipt (name-matched)
INST-0926,Sh.A Posta Shqiptare Filiali Hibrid Mail,,unknown - not seen in KPP
