kodi_institucioni,emertimi
INST-0977,Shtepia e Foshnjes Tirane
INST-0978,Shtepia e Pushimit MB Durres
INST-0979,Shtepia e femijeve 0 – 5 vjec Shkoder
INST-0980,Shtepia e te Moshuarve Fier
INST-0981,Shtepia e te Moshuarve Gjirokaster
INST-0982,Shtepia e te Moshuarve Kavaje
INST-0983,Shtepia e te Moshuarve Shkoder
INST-0984,Shtepia e te Moshuarve Tirane
INST-0985,Shtypshkronja e Letrave me Vlere
INST-0986,Spitali Fier
INST-0987,Spitali Obsetrik Gjinekologjik Mbreteresha Geraldine
INST-0988,Spitali Obstetrik Gjinekologjik Koco Gliozheni
INST-0989,Spitali Psikiatrik Ali Mihali Vlore
INST-0990,Spitali Psikiatrik Sadik Dinci Elbasan
INST-0991,Spitali Rajonal “Memorial” Fier
INST-0992,Spitali Sarande
INST-0993,Spitali Universitar i Traumes
INST-0994,Sport Klub Bulqiza
INST-0995,Teatri Kombetar
INST-0996,Teatri Kombetar Eksperimental Kujtim Spahivogli
INST-0997,"Teatri Kombetar i Operas, Baletit dhe Ansamblit Popullor"
INST-0998,Teatri Petro Marko Vlore
INST-0999,Teda Tirane Shpk
INST-1000,Termocentrali Vlore sh.a
INST-1001,Tirana Agrikulture
INST-1002,Tirana Parking
INST-1003,Tregu i Shitjes me Shumice Fruta - Perime Korce
INST-1004,Ujesjelles-Kanalizime Kamez Sh.a
INST-1005,Universiteti Aleksander Moisiu Durres
INST-1006,Universiteti Aleksander Xhuvani Elbasan
INST-1007,Universiteti Bujqesor Tirane
INST-1008,Universiteti Eqrem Çabej Gjirokaster
INST-1009,Universiteti Fan Noli Korce
INST-1010,Universiteti Ismail Qemali Vlore
INST-1011,Universiteti Luigj Gurakuqi Shkoder
INST-1012,Universiteti Politeknik Tirane
INST-1013,Universiteti i Arteve
INST-1014,Universiteti i Mjekesise Tirane
INST-1015,Universiteti i Sporteve te Tiranes (ish A.E.F.S Vojo Kushi)
INST-1016,Universiteti i Tiranes
INST-1017,Vlora Invest Shpk
INST-1018,Vlora Parking ShA
INST-1019,Zyra Arsimore Sarande
INST-1020,Zyra Ekonomike e Arsimit Sarande
INST-1021,Zyra Permbarimore Vendore Durrës
INST-1022,Zyra Permbarimore Vendore Elbasan
INST-1023,Zyra Rajonale e Sherbimit Social Shteteror  Vlore
INST-1024,Zyra Rajonale e Sherbimit Social Shteteror Berat
INST-1025,Zyra Rajonale e Sherbimit Social Shteteror Durres
INST-1026,Zyra Rajonale e Sherbimit Social Shteteror Elbasan
INST-1027,Zyra Rajonale e Sherbimit Social Shteteror Fier
INST-1028,Zyra Rajonale e Sherbimit Social Shteteror Korce
INST-1029,Zyra Rajonale e Sherbimit Social Shteteror Kukes
INST-1030,Zyra Rajonale e Sherbimit Social Shteteror Tirane
INST-1031,Zyra Vendore Arsimore Bulqize
INST-1032,Zyra Vendore Arsimore Fier
INST-1033,Zyra Vendore e Sherbimit Kombetar te Punesimit Vlore
INST-1034,Zyra e Administrimit të Parkut Kombëtar “Lumi i Vjosës”
INST-1035,Zyra e Prokurorit te Pergjithshem
