kodi_institucioni,emertimi
INST-0179,Bordi i Mbikeqyrjes Publike
INST-0180,Byroja Kombëtare e Hetimit
INST-0181,DREJTORIA E RAJONIT QENDER LINDJE KORCE
INST-0182,DURANA TECH PARK SH.A
INST-0183,Dega e Doganes Berat
INST-0184,Dega e Doganes Durres
INST-0185,Dega e Doganes Elbasan
INST-0186,Dega e Doganes Gjirokaster
INST-0187,Dega e Doganes Lezhe
INST-0188,Dega e Doganes Rinas
INST-0189,Dega e Doganes Tirane
INST-0190,Dega e Doganes Vlore
INST-0191,Dega e Thesarit Elbasan
INST-0192,Dega e Thesarit Gjirokaster
INST-0193,Dega e Thesarit Gramsh
INST-0194,Dega e Thesarit Korce
INST-0195,Dega e Thesarit Kukes
INST-0196,Dega e Thesarit Kuçove
INST-0197,Dega e Thesarit M.Madhe
INST-0198,Departamenti i Administrates Publike
INST-0199,Drejtoria Rajonale  e Autoritetit Kombetar te Ushqimit Diber
INST-0200,Drejtoria Rajonale Formimit Profesional Publik Durres
INST-0201,Drejtoria Rajonale Formimit Profesional Publik Gjirokaster
INST-0202,Drejtoria Rajonale Formimit Profesional Publik Nr.1 Tirane
INST-0203,Drejtoria Rajonale Formimit Profesional Publik Nr.4 Tirane
INST-0204,Drejtoria Rajonale e ALUIZNI Berat
INST-0205,Drejtoria Rajonale e ASHK-se Kukes
INST-0206,Drejtoria Rajonale e Agjencise Kombetare te Punesimit dhe Aftesive  Gjirokaster
INST-0207,Drejtoria Rajonale e Agjencise Kombetare te Punesimit dhe Aftesive Shkoder
INST-0208,Drejtoria Rajonale e Agjencise Kombetare te Punesimit dhe Aftesive Tirane
INST-0209,Drejtoria Rajonale e Agjencisë Kombëtare të Punësimit dhe Aftësive Dibër
INST-0210,Drejtoria Rajonale e Agjencisë Kombëtare të Punësimit dhe Aftësive Elbasan
INST-0211,Drejtoria Rajonale e Agjencisë Kombëtare të Punësimit dhe Aftësive Fier
INST-0212,Drejtoria Rajonale e Arsimit Parauniversitar Durres
INST-0213,Drejtoria Rajonale e Arsimit Parauniversitar Fier
INST-0214,Drejtoria Rajonale e Arsimit Parauniversitar Korçe
INST-0215,Drejtoria Rajonale e Arsimit Parauniversitar Lezhe
INST-0216,Drejtoria Rajonale e Arsimit Parauniversitar Tirane
INST-0217,Drejtoria Rajonale e Autoritetit Kombetar te Ushqimit  Fier
INST-0218,Drejtoria Rajonale e Autoritetit Kombetar te Ushqimit  Vlore
INST-0219,Drejtoria Rajonale e Autoritetit Kombetar te Ushqimit Berat
INST-0220,Drejtoria Rajonale e Autoritetit Kombetar te Ushqimit Durres
INST-0221,Drejtoria Rajonale e Autoritetit Kombetar te Ushqimit Elbasan
INST-0222,Drejtoria Rajonale e Autoritetit Kombetar te Ushqimit Gjirokaster
INST-0223,Drejtoria Rajonale e Autoritetit Kombetar te Ushqimit Korce
INST-0224,Drejtoria Rajonale e Autoritetit Kombetar te Ushqimit Kukes
INST-0225,Drejtoria Rajonale e Autoritetit Kombetar te Ushqimit Shkoder
INST-0226,Drejtoria Rajonale e Autoritetit Kombetar te Ushqimit Tirane
INST-0227,Drejtoria Rajonale e Fondit te Sigurimeve te Detyrueshem te Kujdesit Shendetesor Fier
INST-0228,Drejtoria Rajonale e Fondit te Sigurimit te Detyrueshem te Kujdesit Shendetesor Lezhe
INST-0229,Drejtoria Rajonale e Fondit te Sigurimit te Detyrueshem te Kujdesit Shendetesor Pogradec
INST-0230,Drejtoria Rajonale e Kufirit dhe Migracionit Durres
INST-0231,Drejtoria Rajonale e Kufirit dhe Migracionit Gjirokaster
INST-0232,Drejtoria Rajonale e Kufirit dhe Migracionit Kukes
INST-0233,Drejtoria Rajonale e Kufirit dhe Migracionit Tirane
INST-0234,Drejtoria Rajonale e OSSH Berat
INST-0235,Drejtoria Rajonale e OSSH Burrel
INST-0236,Drejtoria Rajonale e OSSH Durres
INST-0237,Drejtoria Rajonale e OSSH Elbasan
INST-0238,Drejtoria Rajonale e OSSH Fier
INST-0239,Drejtoria Rajonale e OSSH Gjirokaster
INST-0240,Drejtoria Rajonale e OSSH Korce
INST-0241,Drejtoria Rajonale e OSSH Kukes
INST-0242,Drejtoria Rajonale e OSSH Shkoder
INST-0243,Drejtoria Rajonale e OSSH Tirane
INST-0244,Drejtoria Rajonale e OSSH Vlore
INST-0245,Drejtoria Rajonale e Operatorit te Sherbimeve te Kujdesit Shendetesor Elbasan
INST-0246,Drejtoria Rajonale e Operatorit te Sherbimeve te Kujdesit Shendetesor Shkoder
INST-0247,Drejtoria Rajonale e Operatorit te Sherbimeve te Kujdesit Shendetesor Tirane
INST-0248,Drejtoria Rajonale e Operatorit te Sherbimeve te Kujdesit Shendetesor Vlore
INST-0249,Drejtoria Rajonale e Q.L.F.P.P.per Zonen Verilindore
INST-0250,Drejtoria Rajonale e Shendetesise Kukes
INST-0251,Drejtoria Rajonale e Sherbimit Kombetar te Punesimit Korce
INST-0252,Drejtoria Rajonale e Sherbimit Kombetar te Punesimit Lezhe
INST-0253,Drejtoria Rajonale e Sherbimit Social Shteteror Diber
INST-0254,Drejtoria Rajonale e Sherbimit Veterinar dhe Mbrojtjes se Bimeve Tirane
INST-0255,Drejtoria Rajonale e Sherbimit Veterinar dhe Mbrojtjes se Bimeve Vlore
INST-0256,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Berat
INST-0257,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Diber
INST-0258,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Durres
INST-0259,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Elbasan
INST-0260,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Fier
INST-0261,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Gjirokaster
INST-0262,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Korçe
INST-0263,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Kukes
INST-0264,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Lac
INST-0265,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Sarande
INST-0266,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Shkoder
INST-0267,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Tirane
INST-0268,Drejtoria Rajonale e Sherbimit te Transportit Rrugor Vlore
INST-0269,Drejtoria Rajonale e Shërbimit Veterinar dhe Mbrojtjes së Bimëve Elbasan
INST-0270,Drejtoria Rajonale e Shërbimit Veterinar dhe Mbrojtjes së Bimëve Shkodër
INST-0271,Drejtoria Rajonale e Sigurimeve Shoqerore Berat
INST-0272,Drejtoria Rajonale e Sigurimeve Shoqerore Diber
INST-0273,Drejtoria Rajonale e Sigurimeve Shoqerore Durres
INST-0274,Drejtoria Rajonale e Sigurimeve Shoqerore Elbasan
INST-0275,Drejtoria Rajonale e Sigurimeve Shoqerore Fier
INST-0276,Drejtoria Rajonale e Sigurimeve Shoqerore Gjirokaster
INST-0277,Drejtoria Rajonale e Sigurimeve Shoqerore Korce
INST-0278,Drejtoria Rajonale e Sigurimeve Shoqerore Kukes
INST-0279,Drejtoria Rajonale e Sigurimeve Shoqerore Lezhe
INST-0280,Drejtoria Rajonale e Sigurimeve Shoqerore Sarande
INST-0281,Drejtoria Rajonale e Sigurimeve Shoqerore Tirane
INST-0282,Drejtoria Rajonale e Sigurimeve Shoqerore Tropoje
INST-0283,Drejtoria Rajonale e Sigurimeve Shoqerore Vlore
INST-0284,Drejtoria Rajonale e Sigurimeve te Kujdesit Shendetesor Berat
INST-0285,Drejtoria Rajonale e Sigurimeve te Kujdesit Shendetesor Diber
INST-0286,Drejtoria Rajonale e Sigurimeve te Kujdesit Shendetesor Elbasan
INST-0287,Drejtoria Rajonale e Sigurimeve te Kujdesit Shendetesor Kukes
INST-0288,Drejtoria Rajonale e Sigurimeve te Kujdesit Shendetesor Tirane
INST-0289,Drejtoria Rajonale e Sigurimeve te Kujdesit Shendetesor Vlore
INST-0290,Drejtoria Rajonale e Sigurimit te Kujdesit Shendetesor Durres
INST-0291,Drejtoria Rajonale e Tatimeve Diber
INST-0292,Drejtoria Rajonale e Tatimeve Durres
INST-0293,Drejtoria Rajonale e Tatimeve Gjirokaster
